Image|Rating|Code|Name|Classification|Vintage|Region|Price|Country|Description|Stock|Type|Id|Size
Watermark2014 9Chateau Gruaud Larose 1934.jpg||M0000364|Gruaud Larose|2eme Cru|1934|Saint Julien|HK$ 5,200.0|France|Medium garnet color, with cigar-box aromas and tarry nuances. Drying out, but the fruit is still evident. Concentrated, but past middle age.|1|Red wine|5314|750ml
Watermark2014Mouton Rothschild 1955jpg.jpg|RP 97 |M0000099|Mouton Rothschild|1er Cru|1955|Pauillac|HK$ 18,900.0|France||1|Red wine|5316|750ml
Watermark2014Latour 2008jpg.jpg|RP 100 |M0000096|Latour|1er Cru|1961|Pauillac|HK$ 38,000.0|France||1|Red wine|5317|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 98 |M0000733|Mouton Rothschild|1er Cru|1961|Pauillac|HK$ 22,800.0|France||4|Red wine|5319|750ml
Watermark2014 9Chateau Latour 1967.jpg|RP 88 |M0000388|Latour|1er Cru|1967|Pauillac|HK$ 4,300.0|France|The Latour has dark ruby color with some browning at the edges, a medium- to full-bodied feel, plenty of black currant fruit, and some light, soft tannins still present. Head and shoulders above the other first-growths, this wine has the classic Latour bouquet of black walnuts, black currants, mineral scents, and cedarwood.|0|Red wine|5320|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 87 |M0000734|Mouton Rothschild|1er Cru|1967|Pauillac|HK$ 3,600.0|France||1|Red wine|5321|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 96 |M0000735|Mouton Rothschild|1er Cru|1970|Pauillac|HK$ 3,800.0|France||2|Red wine|5324|750ml
Watermark2014 6Nenin 1971 JPEG.jpg||M0000412|Nenin|AOC|1971|Pomerol|HK$ 1,450.0|France|A balanced wine with aromas of blackcurrant and wood, tannins still not completely melted but not aggressive and a good finish. A wine definitely surprised you.|1|Red wine|5325|750ml
Watermark2014 8Latour 2003 JPEG.jpg|RP 94 |M0000732|Latour|1er Cru|1971|Pauillac|HK$ 5,600.0|France||8|Red wine|5326|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 88 |M0000737|Mouton Rothschild|1er Cru|1971|Pauillac|HK$ 3,900.0|France||1|Red wine|5327|750ml
Watermark2014Mouton Rothschild 1975jpg.jpg|RP 83 |M0000736|Mouton Rothschild|1er Cru|1973|Pauillac|HK$ 7,999.0|France||11|Red wine|5328|750ml
Watermark2014 3Lafite Rothschild 1996 JEPG.jpg|RP 92 |M0000730|Lafite Rothschild|1er Cru|1975|Pauillac|HK$ 6,780.0|France||1|Red wine|5331|750ml
Watermark2014 9Chateau Ausone 1976.jpg|RP 92, WS 89 |M0000209|Ausone|1er GCC A|1976|St. Emilion|HK$ 3,999.0|France|Considerable amber at the edge is evident in this dark garnet-colored wine. With a big nose of sweet maple syrup intermixed with foresty notes, plum, fig, and currants, it is sweeter and riper than its more famous sibling, the 1975. In the mouth, the wine|0|Red wine|5332|750ml
Watermark2014 9Chateau Latour A Pomerol 1976.jpg|RP 87 |M0000390|Latour A Pomerol|AOC|1976|Pomerol|HK$ 1,190.0|France|In 1976, this estate managed to produce a rich, flavorful, spicy, concentrated wine while avoiding the overripe character that afflicted so many Pomerol estates. Lush, silky, creamy, fat, and fruity, this medium-bodied wine is complemented nicely by spicy oak. It has been fully mature for a decade, and there are no discernible tannins remaining.|1|Red wine|5333|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 85 |M0000411|Mouton Rothschild|1er Cru|1976|Pauillac|HK$ 3,180.0|France|Medium to dark ruby with some browning at the edges, this wine is approaching maturity and exhibits an interesting, moderately intense bouquet of ripe plums, spicy oak, and leather.|1|Red wine|5334|750ml
Watermark2014 3Cos d Estournel 2010 JPEG.jpg|WS 85 |M0000254|Cos d Estournel|2eme Cru|1977|St. Estephe|HK$ 1,500.0|France||0|Red wine|5335|750ml
Watermark2014 9Chateau Margaux 1978.jpg|RP 92 |M0000405|Margaux|1er Cru|1978|Margaux|HK$ 3,999.0|France|A classic, concentrated, rich, deep wine, with a mature, complex bouquet, displaying a touch of mint. Its very fine tannic structure still leaves a little firmness in the finish, which is fortunately softened by very fine perfumed flavours.|1|Red wine|5337|750ml
Watermark2014 9Chateau Mouton Rothschild 1978.jpg|RP 92 |M0000410|Mouton Rothschild|1er Cru|1978|Pauillac|HK$ 9,600.0|France|The 1978 is a vegetal, cedary, coffee, and berry-scented Mouton. It is pleasant, but lacks the concentration and depth expected of a first-growth. The wine is medium-bodied, with a slight greenness to its curranty, earthy flavors, and moderately astringent, bitter tannin in the finish. It is a pleasant wine that is unlikely to develop additional complexity or richness.|1|Red wine|5338|1500ml
Watermark2014 9Figeac 1982.jpg|RP 94 |M0000360|Figeac|1er GCC B|1982|St. Emilion|HK$ 3,999.0|France|A dense plum/garnet color with a slight lightening at the edge is followed by a sensational Figeac nose of mint, fruitcake, Asian spices, gobs of sweet black and red fruits, and a smoky component in the background. Medium to full-bodied with lovely freshness, this 1982 appears to be fully mature, and it should hold at this level for another 10-20 years.|1|Red wine|5341|750ml
Watermark2014 9Chateau Margaux 1982.jpg|RP 98 |M0000406|Margaux|1er Cru|1982|Margaux|HK$ 8,300.0|France|Firm and rich. Dark ruby. Mint, mineral and currant aromas. Full-bodied, with solid and fine tannins.|1|Red wine|5342|750ml
|RP 93 |M0000551|Certan de May|AOC|1982|Pomerol|HK$ 3,300.0|France||1|Red wine|5343|750ml
Watermark2014 8Henschke - Hill of Grace Shiraz 1990 JPEG.JPG||M0000779|Henschke - Hill of Grace Shiraz||1982|Eden Valley||Australia||0|Red wine|5344|750ml
Watermark2014 3La Mission Haut Brion 2007 JPEG.jpg|RP 94 |M0000824|La MISSION HAUT BRION|Grand Cru Classes|1982|Pessac Leognan|HK$ 10,500.0|France||11|Red wine|5345|750ml
Watermark2014Mouton Rothschild 1983jpg.jpg|RP 94 |M0000101|Mouton Rothschild|1er Cru|1983|Pauillac|HK$ 5,000.0|France||20|Red wine|5346|750ml
